chickens_per_dollar,broilers_pd,layer_hens_pd,us_cage_free_commitments,other_cage_free_commitments
48.03578642,-0.361463406,47.81059354,185295685.4,111035736.8
159.5024734,6.57529298,70.37707825,194689590,125959668.1
7.288328314,3.315584049,30.88067023,199597639.8,167818551.7
34.70989138,1.681628093,15.29164846,180977452.6,76126984.88
76.23180844,12.12012509,55.29456467,189927683.9,129840798.6
100.2167055,5.338487864,53.15601603,195515574.7,83282674.05
105.5861925,2.557459598,24.75168864,178577854.3,110739054.5
164.3810993,3.176236111,24.8033975,169145043.2,243404598.1
19.90582361,7.688282764,37.35050004,177994157.4,183228373.4
51.66395054,3.060398948,22.1328555,175495380.8,107490732.1
7.990389233,18.77352829,80.64718343,198691010.6,59540333.93
44.14783652,4.376733222,19.28885598,192188223.2,88355526.95
44.91986574,8.914441764,36.04001465,186203795.2,100681671.7
28.40210313,10.99896594,71.02939773,181080958.8,97672731.1
28.70258374,30.10701459,100.4430036,179860986.8,105997038.1
43.21302147,5.213673289,27.68757043,172523993.4,81121666.05
22.03123754,9.647159669,35.42275755,176250043.7,97903722.22
15.60450566,4.890898446,23.13170949,195469089.1,69559580.64
22.72599637,47.49982507,304.472877,196702987,190721140.4
14.02719845,8.688805256,14.28756309,155186137.9,133829440.4
92.55828576,10.07018213,36.92032293,194586250,124599412.4
97.28159981,9.10699999,39.77681241,190720301.7,164147490.6
38.3978081,45.54894934,40.09893568,175017468,82345705.74
75.5211461,6.655945124,40.68448411,190556418.8,217395504.8
76.93553227,5.950235088,27.22998898,194478444.2,133817696.7
33.32251194,7.534047207,29.08662586,164953617.2,146087239.2
31.18525649,10.29672532,84.35073654,193820934.3,283233067.3
59.74164232,2.704822447,10.50582447,175634436.9,145544444.6
84.41581297,6.275542289,32.31525798,208598315.8,144524662.8
88.56403464,4.507517022,24.35503513,189398040.8,267804739.2
8.489913121,9.893650126,15.93208446,176001652.6,93124160.54
137.8431496,17.39698708,52.10575436,208157452.2,109257965.2
107.7450092,3.925440936,14.28409649,184665791,76822648.82
103.7077862,4.167700333,28.60094546,181498027.2,96642938.46
119.1375979,18.17953085,63.27674878,173617338.1,103140727
95.2639128,42.28123917,52.66128376,179175526.1,108424894.1
53.22526281,8.989397686,26.3577477,213849470.2,74890130.85
18.01709841,12.40452182,29.08794651,193036656.8,110402738
7.103958287,12.28635024,101.556141,195453577.4,213325442.9
170.1473937,3.887318859,10.69562458,154988884.1,83125637.18
56.85923093,4.894847633,14.00356111,190689934,81228669.03
33.60744243,4.843863736,11.47652292,164846037.8,186492031.9
81.11727141,42.66868087,66.3897099,184083867.8,201962692.9
90.6264413,14.88079404,48.58714352,195363674.1,148459631
395.8960235,7.997760526,58.80717887,172152825.6,186360889.6
101.8816196,2.917754304,9.835911979,176441092,117751070.4
41.63683187,22.64208387,43.93455381,202259069.7,120427366.5
46.27453665,7.311717537,27.00238262,170958747.6,51524330.98
54.72777913,14.70576705,92.48961879,168880519.1,241470843.5
75.7013012,17.90774563,37.39429247,170355273.4,252992333.8
77.96084176,3.391055601,14.62132947,201213912.7,86170043.41
38.2491529,22.4062016,35.49222782,168285397.9,156453501.5
35.63648208,29.98894241,41.17123978,180537626.6,59653138.98
38.63893522,8.844695251,33.24169866,188282363.7,69809820.22
59.34857169,4.994503254,23.56886085,204640240.4,170091130.4
175.3474293,40.16787394,86.62937276,182326552.4,96718494.13
26.06088152,40.37041652,62.93980666,185305625.2,115145070.4
31.99272532,14.01090304,21.99500343,206399013.8,96145138.81
163.5968758,23.82660392,15.34811086,150559008.3,34998993.48
148.2834854,108.936467,112.9193001,197959857.9,64421600.77
96.62960254,59.37146907,51.32128197,194859269,82408379.38
70.94452234,37.28761565,35.52860421,143717507.3,87644953.59
49.55922389,28.37878792,54.76839385,183715255.7,166090614.4
92.30633039,14.10980977,9.823134603,175089313.5,59243788.53
80.00980887,92.2796107,127.7368217,187038388.4,75171716.38
106.3553852,133.4442161,232.6209645,175245966.3,123699720
93.58189476,40.425183,63.79240626,205752761.3,244795532.7
59.91189851,84.09520928,62.01319731,196170510.7,71260156.93
180.93691,23.77022569,17.94286418,183634875.1,121260629.7
154.5292864,12.75957485,34.79090374,192914354.3,177379530.1
38.15243272,37.16311676,26.57623813,182641138.6,83830655.08
108.6055775,19.74386219,19.05657388,214106101.3,75042302.44
88.00128871,9.619072599,13.86050486,166188689.7,111789642.1
123.1109501,20.8372184,11.50971652,182241006.9,104829670.4
68.24708461,6.895564214,5.397652839,159244288.1,127903216.8
122.3135163,54.6396872,49.90060918,191603065.4,127596544.6
129.051372,51.31906899,31.44386299,210847874.3,105718132.9
71.31554465,54.34526541,42.96546468,194750688.1,77243172.55
288.1914954,31.44595865,24.53179426,178317897.2,167063955.6
14.93778413,25.71015318,60.96383483,195835171.7,284793232.4
